Movie name,Year_of_Release,Watch_Time,Genre,Movie_Rating,Metascore of movie,Votes,Gross,Description
The Shawshank Redemption,1994,142 min,Drama,9.3,82        ,"2,730,691",$28.34M,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
The Godfather,1972,175 min,"Crime,Drama",9.2,100        ,"1,898,597",$134.97M,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.
The Dark Knight,2008,152 min,"Action,Crime,Drama",9.0,84        ,"2,703,760",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
Schindler's List,1993,195 min,"Biography,Drama,History",9.0,95        ,"1,378,819",$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
The Lord of the Rings: The Return of the King,2003,201 min,"Action,Adventure,Drama",9.0,94        ,"1,878,519",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
12 Angry Men,1957,96 min,"Crime,Drama",9.0,97        ,"807,889",$4.36M,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
The Godfather Part II,1974,202 min,"Crime,Drama",9.0,90        ,"1,294,548",$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
Pulp Fiction,1994,154 min,"Crime,Drama",8.9,95        ,"2,098,194",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Inception,2010,148 min,"Action,Adventure,Sci-Fi",8.8,74        ,"2,399,818",$292.58M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
The Lord of the Rings: The Fellowship of the Ring,2001,178 min,"Action,Adventure,Drama",8.8,92        ,"1,907,488",$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Fight Club,1999,139 min,Drama,8.8,66        ,"2,173,636",$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
Forrest Gump,1994,142 min,"Drama,Romance",8.8,82        ,"2,124,558",$330.25M,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
"Il buono, il brutto, il cattivo",1966,161 min,"Adventure,Western",8.8,90        ,"773,978",$6.10M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
The Lord of the Rings: The Two Towers,2002,179 min,"Action,Adventure,Drama",8.8,87        ,"1,695,864",$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
